time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-07 00:00:00+00:00,3,3,41,21
2025-11-08 00:00:00+00:00,6,6,54,25
2025-11-09 00:00:00+00:00,8,3,37,16
2025-11-10 00:00:00+00:00,13,6,39,22
2025-11-11 00:00:00+00:00,5,4,47,22
2025-11-12 00:00:00+00:00,3,3,51,32
2025-11-13 00:00:00+00:00,11,5,53,21
2025-11-14 00:00:00+00:00,5,5,36,22
2025-11-15 00:00:00+00:00,6,6,43,28
2025-11-16 00:00:00+00:00,2,2,40,22
2025-11-17 00:00:00+00:00,5,5,37,18
2025-11-18 00:00:00+00:00,7,7,30,18
2025-11-19 00:00:00+00:00,2,2,16,8
2025-11-20 00:00:00+00:00,1,1,30,18
