time_iso8601,stars_cumulative
2025-02-24 00:00:00+00:00,1
2025-03-01 00:00:00+00:00,2
2025-03-10 00:00:00+00:00,3
2025-03-18 00:00:00+00:00,4
2025-04-05 00:00:00+00:00,5
2025-05-07 00:00:00+00:00,6
2025-05-27 00:00:00+00:00,7
2025-06-14 00:00:00+00:00,8
2025-06-21 00:00:00+00:00,9
2025-07-05 00:00:00+00:00,10
2025-07-07 00:00:00+00:00,11
2025-07-11 00:00:00+00:00,12
2025-07-20 00:00:00+00:00,14
2025-08-08 00:00:00+00:00,15
2025-08-16 00:00:00+00:00,16
2025-08-17 00:00:00+00:00,17
2025-08-26 00:00:00+00:00,18
2025-09-05 00:00:00+00:00,19
